,ind_nr,profile_img_path,orig_img_path,keramik_H_max,dm_1,dm_2,bodenform,umbruchform,decoration
123,analysis/data/input_data/object_images/original_images/s_309_2_a_1.png,profile_images/s_309_2_a_1_2.png,original_images/s_309_2_a_1.png,,,,,,
124,analysis/data/input_data/object_images/original_images/s_309_2_a_2.png,profile_images/s_309_2_a_2_2.png,original_images/s_309_2_a_2.png,,,,,,
125,analysis/data/input_data/object_images/original_images/s_309_2_b_1.png,profile_images/s_309_2_b_1_2.png,original_images/s_309_2_b_1.png,,,,,,
126,analysis/data/input_data/object_images/original_images/s_309_2_b_2.png,profile_images/s_309_2_b_2_2.png,original_images/s_309_2_b_2.png,,,,,,
127,analysis/data/input_data/object_images/original_images/s_309_2_b_3.png,profile_images/s_309_2_b_3_2.png,original_images/s_309_2_b_3.png,,,,,,
128,analysis/data/input_data/object_images/original_images/s_309_2_c_2.png,profile_images/s_309_2_c_2_2.png,original_images/s_309_2_c_2.png,,,,,,
129,analysis/data/input_data/object_images/original_images/s_309_2_d_1.png,profile_images/s_309_2_d_1_2.png,original_images/s_309_2_d_1.png,,,,,,
130,analysis/data/input_data/object_images/original_images/s_309_2_d_2.png,profile_images/s_309_2_d_2_2.png,original_images/s_309_2_d_2.png,,,,,,
131,analysis/data/input_data/object_images/original_images/s_309_3_a_2.png,profile_images/s_309_3_a_2_2.png,original_images/s_309_3_a_2.png,,,,,,
132,analysis/data/input_data/object_images/original_images/s_309_3_a_4.png,profile_images/s_309_3_a_4_2.png,original_images/s_309_3_a_4.png,,,,,,
133,analysis/data/input_data/object_images/original_images/s_366.png,profile_images/s_366_2.png,original_images/s_366.png,,,,,,
134,analysis/data/input_data/object_images/original_images/s_399_2_2.png,profile_images/s_399_2_2_2.png,original_images/s_399_2_2.png,,,,,,
135,analysis/data/input_data/object_images/original_images/s_399_2_3.png,profile_images/s_399_2_3_2.png,original_images/s_399_2_3.png,,,,,,
136,analysis/data/input_data/object_images/original_images/s_399_2_6.png,profile_images/s_399_2_6_2.png,original_images/s_399_2_6.png,,,,,,
137,analysis/data/input_data/object_images/original_images/s_399_3_2.png,profile_images/s_399_3_2_2.png,original_images/s_399_3_2.png,,,,,,
138,analysis/data/input_data/object_images/original_images/s_399_3_3.png,profile_images/s_399_3_3_2.png,original_images/s_399_3_3.png,,,,,,
139,analysis/data/input_data/object_images/original_images/s_399_3_9.png,profile_images/s_399_3_9_2.png,original_images/s_399_3_9.png,,,,,,
140,analysis/data/input_data/object_images/original_images/s_399_4_1.png,profile_images/s_399_4_1_2.png,original_images/s_399_4_1.png,,,,,,
141,analysis/data/input_data/object_images/original_images/s_399_4_4.png,profile_images/s_399_4_4_2.png,original_images/s_399_4_4.png,,,,,,
142,analysis/data/input_data/object_images/original_images/s_399_4_5.png,profile_images/s_399_4_5_2.png,original_images/s_399_4_5.png,,,,,,
143,analysis/data/input_data/object_images/original_images/s_399_4_6.png,profile_images/s_399_4_6_2.png,original_images/s_399_4_6.png,,,,,,
144,analysis/data/input_data/object_images/original_images/s_399_4_7.png,profile_images/s_399_4_7_2.png,original_images/s_399_4_7.png,,,,,,
145,analysis/data/input_data/object_images/original_images/s_431_3_1.png,profile_images/s_431_3_1_2.png,original_images/s_431_3_1.png,,,,,,
146,analysis/data/input_data/object_images/original_images/s_431_3_2.png,profile_images/s_431_3_2_2.png,original_images/s_431_3_2.png,,,,,,
147,analysis/data/input_data/object_images/original_images/s_431_3_3.png,profile_images/s_431_3_3_2.png,original_images/s_431_3_3.png,,,,,,
