,keramik_id,ind_nr,profile_img_path,orig_img_path,stilgruppe,grundform,form,bodenform,sites,keramik_H_max,dm_1,dm_2,bodenform_Abgeflacht,bodenform_flach,bodenform_Flach,bodenform_rund,bodenform_Standboden,umbruchform_rund,umbruchform_scharf,umbruchform_spitz,decoration_AOC,decoration_AOO,decoration_Corded_Linear,decoration_Corded_Linear_Reserved,decoration_Linear,decoration_Linear_Reserved,decoration_maritime,decoration_special,decoration_zonal
45.01_08b,30,analysis/data/input_data/object_images/original_images/45.01_08b.png,profile_images/45.01_08b_2.png,original_images/45.01_08b.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,70,118,143,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
45.01_10,31,analysis/data/input_data/object_images/original_images/45.01_10.png,profile_images/45.01_10_2.png,original_images/45.01_10.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,110,186,228,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
45.01_11,32,analysis/data/input_data/object_images/original_images/45.01_11.png,profile_images/45.01_11_2.png,original_images/45.01_11.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,61,99,122,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
45.01_14,33,analysis/data/input_data/object_images/original_images/45.01_14.png,profile_images/45.01_14_2.png,original_images/45.01_14.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,99,115,130,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
45.01_35,34,analysis/data/input_data/object_images/original_images/45.01_35.png,profile_images/45.01_35_2.png,original_images/45.01_35.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,125,99,120,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45.01_36,35,analysis/data/input_data/object_images/original_images/45.01_36.png,profile_images/45.01_36_2.png,original_images/45.01_36.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,99,115,129,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
45.01_37,36,analysis/data/input_data/object_images/original_images/45.01_37.png,profile_images/45.01_37_2.png,original_images/45.01_37.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,156,262,318,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45.01_38,37,analysis/data/input_data/object_images/original_images/45.01_38.png,profile_images/45.01_38_2.png,original_images/45.01_38.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,66,112,136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
45.03_05,38,analysis/data/input_data/object_images/original_images/45.03_05.png,profile_images/45.03_05_2.png,original_images/45.03_05.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,80,121,136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
45.03_06,39,analysis/data/input_data/object_images/original_images/45.03_06.png,profile_images/45.03_06_2.png,original_images/45.03_06.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,125,175,208,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
45.03_11,40,analysis/data/input_data/object_images/original_images/45.03_11.png,profile_images/45.03_11_2.png,original_images/45.03_11.png,Dummy_1,Dummy_1,Dummy_1,Dummy_1,site2,157,102,124,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
